,Title,Occupation,Company,Company Location,Specs,Link
880,Key Account Manager - Modern Trade,"['Full Time', 'Hybrid']",LYCHEE EGYPT ,"Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · Business Development · Sales/Retail · Account Management · Sales · Sales Target · sales skills · Management · Business Administration,https://wuzzuf.net/jobs/p/kYyC98csXWWq-Key-Account-Manager---Modern-Trade-LYCHEE-EGYPT-Cairo-Egypt
881,Digital Marketing Expert,"['Full Time', 'Part Time', 'Remote']",Confidential ,"Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Google Adwords · Marketing · Online Marketing · Communication skills · E-Marketing · Google Analytics · Social Media,https://wuzzuf.net/jobs/p/od7bQaYTPUeT-Digital-Marketing-Expert-Cairo-Egypt
882,Shipping and logistics Specialist,"['Full Time', 'On-site']",ECC Group ,"Nasr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Demand Planning · Logistics · Communication · Management · Planning · Purchasing · Shipping · Supply Chain,https://wuzzuf.net/jobs/p/OGJj0KlcqKLX-Shipping-and-logistics-Specialist-Egyptian-Cultural-Center-Cairo-Egypt
883,Sr. Marketing Specialist,"['Full Time', 'On-site']",Hands of Hope Physical Therapy & Wellness ,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · B2B · Digital Marketing · digital marketing · Social Media · Market Research · Marketing · Sales,https://wuzzuf.net/jobs/p/KY8X9QLzYTS4-Sr-Marketing-Specialist-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt
884,HORECA Direct Sales Manager,"['Full Time', 'Hybrid']",Food Lover for Trade and Food Industries. ,"Obour City, Cairo, Egypt ",Manager · 7 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Sales/Retail · HORECA · Food · Direct Sales · sales skills · Sales · Food Service · Food Processing,https://wuzzuf.net/jobs/p/D3Fr36vemc72-HORECA-Direct-Sales-Manager-Food-Lover-for-Trade-and-Food-Industries-Cairo-Egypt
885,Medior Operations Export/Import,"['Full Time', 'On-site']",Blue Ocean Marine ,"Mansheya, Alexandria, Egypt ",Entry Level · 1 - 4 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Export · freight · Freight Forwarding · Import · Logistics · Management · Operations · Supply Chain,https://wuzzuf.net/jobs/p/eB6gsTKooJzZ-Medior-Operations-ExportImport-Blue-Ocean-Marine-Alexandria-Egypt
886,Export Manager,"['Full Time', 'On-site']",Food Lover for Trade and Food Industries. ,"Obour City, Cairo, Egypt ",Manager · 9 - 12 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Sales/Retail · Export Management · Export · Communication skills · Sales · Logistics · Supply Chain,https://wuzzuf.net/jobs/p/hU6nfhHmg8ep-Export-Manager-Food-Lover-for-Trade-and-Food-Industries-Cairo-Egypt
887,Contact Center - Quality Assurance Specialist,"['Full Time', 'On-site']",Seoudi Supermarket ,"Nozha, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Communication · Communication skills · Contact Center · Customer Care · Customer Service · Customer Support,https://wuzzuf.net/jobs/p/BidgXbBozTel-Contact-Center---Quality-Assurance-Specialist-Seoudi-Supermarket-Cairo-Egypt
888,Purchasing Specialist (Retail F&B),"['Full Time', 'On-site']",Healthy & Tasty ,"Maadi, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Sales/Retail · Purchasing/Procurement · Administration · business · Business Administration · Logistics · Management · Negotiation · Procurement,https://wuzzuf.net/jobs/p/DN6AWoTN19yh-Purchasing-Specialist-Retail-FB-Healthy-Tasty-Cairo-Egypt
889,Purchase Specialist,"['Full Time', 'On-site']",Olio Food ,"Obour City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Purchasing/Procurement · FMCG · Food · Purchasing · Procurement · Supply Chain · Communication skills · Computer Skills · Suppliers,https://wuzzuf.net/jobs/p/9ujyhuAmaIXD-Purchase-Specialist-Olio-Food-Cairo-Egypt
890,Digital Marketing Manager / Real Estate,"['Full Time', 'On-site']",Seldar Egypt ,"New Cairo, Cairo, Egypt ",Manager · 7 - 10 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Digital Marketing · Real Estate · SEM · SEO · Social Media · Marketing · media,https://wuzzuf.net/jobs/p/k6NCZH1WFN9p-Digital-Marketing-Manager-Real-Estate-Seldar-Egypt-Cairo-Egypt
891,Electrical Engineer,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Other · Electrical Engineering · Electrical · Manufacturing · Engineering · Electrical manufacturing,https://wuzzuf.net/jobs/p/oxVG9nKZxQC3-Electrical-Engineer-Giza-Egypt
892,Human Resources Generalist,"['Full Time', 'On-site']",Refilex ,"Dokki, Giza, Egypt ",Experienced · 4+ Yrs of Exp · Administration · Customer Service/Support · Human Resources · Communication · employment · HR generalist · HR · Human Resources · Human Resources (HR) · Labor,https://wuzzuf.net/jobs/p/7f620qDjciNG-Human-Resources-Generalist-Refilex-Giza-Egypt
893,Internal Auditor,"['Full Time', 'On-site']",Confidential ,"Obour City, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Accounting/Finance · Auditing · auditor · Internal auditor,https://wuzzuf.net/jobs/p/U2WpAqaXlzcE-Internal-Auditor-Cairo-Egypt
894,E-Commerce Account Manager,"['Full Time', 'On-site']",Food Lover for Trade and Food Industries. ,"Obour City, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · E-Commerce · E-Marketing · Marketing · account manager · B2B · Communication · CRM · Microsoft Office,https://wuzzuf.net/jobs/p/CVDPdqyMXDke-E-Commerce-Account-Manager-Food-Lover-for-Trade-and-Food-Industries-Cairo-Egypt
895,Senior Electrical Technical Office / Site Engineer,"['Full Time', 'On-site']",Emco Tech ,"Sheraton, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other · Electrical Engineering · Engineering · Technical Office · Electrical,https://wuzzuf.net/jobs/p/TLD4gEwbaXZ0-Senior-Electrical-Technical-Office-Site-Engineer-Emco-Tech-Cairo-Egypt
896,Network and Security Expert,"['Full Time', 'On-site']",Cleopatra Hospitals Group ,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · network · Cisco · Engineering · Information Technology (IT) · Networking · Security · CCNP,https://wuzzuf.net/jobs/p/l7cRLSeMwNco-Network-and-Security-Expert-Cleopatra-Hospitals-Group-Cairo-Egypt
