,Title,Occupation,Company,Company Location,Specs,Link
0,Data Analysis/Analytics Instructor (Excel - Power BI),"['Full Time', 'Part Time', 'Freelance / Project']",EpsilonAI ,"Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,https://wuzzuf.net/jobs/p/Nd4HjNw7Mnxy-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt
1,Cost & Data Analysis Accountant,"['Full Time', 'On-site']",MENA For Contracting & Trading ,"Glim, Alexandria, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication skills · Construction · Cost Accounting · ERP · excel · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/6LyviAngofaz-Cost-Data-Analysis-Accountant-MENA-For-Contracting-Trading-Alexandria-Egypt
2,Data Analyst,"['Full Time', 'On-site']",Al Soug-Cashi ,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · SQL · Python · Data Analyst · Data Analysis · analytical · Analyst,https://wuzzuf.net/jobs/p/rNZU4IBZewUz-Data-Analyst-Al-Soug-Cashi-Giza-Egypt
3,Senior Data Analyst,"['Full Time', 'On-site']",Green Valley ,"Nasr City, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · Analyst/Research · Analysis · Analyst · Data Analysis · Data Analyst,https://wuzzuf.net/jobs/p/lz3Hncw3F9yP-Senior-Data-Analyst-Green-Valley-Cairo-Egypt
4,Data Engineering Lead,"['Part Time', 'Hybrid']",Nahdet Misr Publishing Group ,"Mohandessin, Giza, Egypt ",Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling · Data Warehouse,https://wuzzuf.net/jobs/p/SyTlRprkXhia-Data-Engineering-Lead-Nahdet-Misr-Publishing-Group-Giza-Egypt
5,Data Analyst Lead / Manager,"['Full Time', 'Hybrid']",WUZZUF ,"Maadi, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
6,Data Scientists Team Lead,"['Full Time', 'Hybrid']",Smart Vision Technologies ,"Sheraton, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt
7,Data Analyst,"['Full Time', 'On-site']",United Group Steel  ,"10th of Ramadan City, Sharqia, Egypt ",Entry Level · 1 - 5 Yrs of Exp · females_only · Accounting/Finance · IT/Software Development · Analyst/Research · Data Entry · Financial Data Analysis · Data Analysis · Microsoft Excel · Financial Accounting · Business Analysis · Analysis,https://wuzzuf.net/jobs/p/wbK72hYhmTCd-Data-Analyst-United-Group-Steel-Sharqia-Egypt
8,Financial Planning And Analysis Assistant Manager,"['Full Time', 'On-site']",Erada ,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analysis · CFA · ERP · Finance · Financial · Financial Analysis · Financial Planning,https://wuzzuf.net/jobs/p/6SMcdiXwFZ4f-Financial-Planning-And-Analysis-Assistant-Manager-Erada-Cairo-Egypt
9,"Data Analyst -Internship ""Alexandria""","['Internship', 'On-site']",Egyptian Abrasives Co. ,"Alexandria, Egypt ",Student · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Information Technology (IT) · Computer Science · Training · Communication,https://wuzzuf.net/internship/eJ5MCTLO1OfU-Data-Analyst--Internship-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt
10,Media Monitoring Executive & Data Analysis,"['Full Time', 'Remote']",A&Y Govt. Services LLC ,"Al Ahmadi, Kuwait ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Market Research · Social Media · English · Data Analysis · Research,https://wuzzuf.net/jobs/p/DjhJDpbmz64n-Media-Monitoring-Executive-Data-Analysis-AY-Govt-Services-LLC-Al-Ahmadi-Kuwait
11,Project Analyst (Pharmacist / Engineer) - Technical Specialist,"['Full Time', 'On-site']",Pharco Corporation ,"Ameria, Alexandria, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Project/Program Management · Analyst/Research · Engineering · Pharmacy · analytical · Project Management · Data Analysis,https://wuzzuf.net/jobs/p/Pprhnxcf2Zdp-Project-Analyst-Pharmacist-Engineer---Technical-Specialist-Pharco-Corporation-Alexandria-Egypt
12,Secondary Market Researcher,"['Full Time', 'On-site']",Ptcell ,"Maadi, Cairo, Egypt ","Experienced · 2 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Market Research · Pharmaceutical · Research · Analysis · science,",https://wuzzuf.net/jobs/p/9eIuzD1TnBmz-Secondary-Market-Researcher-Ptcell-Cairo-Egypt
13,Power BI Developer,"['Full Time', 'On-site']",eVision ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · BI · Computer Science · Database · Information Technology (IT) · Power BI · Data Warehousing · Analysis,https://wuzzuf.net/jobs/p/aPG8FA6PpKac-Power-BI-Developer-eVision-Cairo-Egypt
14,Customer Relationship Management (CRM) Specialist,"['Full Time', 'On-site']",Confidential ,"Red Sea, Egypt ",Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Operations/Management · media · E-Marketing · Advertising · Social Media · social media platforms · Digital Marketing · Communication · Creative,https://wuzzuf.net/jobs/p/XdoThdL3kJRp-Customer-Relationship-Management-CRM-Specialist-Red-Sea-Egypt
15,Business Analyst,"['Full Time', 'On-site']",GCSSD ,"Heliopolis, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · System Analysis · Writing System · ERP · Data Warehouse · SDLC · Information Technology (IT) · Business Analysis,https://wuzzuf.net/jobs/p/0gRG4bWLt5l1-Business-Analyst-GCSSD-Cairo-Egypt
16,Analysis Engineer,"['Full Time', 'On-site']",SMD Industrial  ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 5 Yrs of Exp · Manufacturing/Production · Analyst/Research · Data Analysis · Analytical Skills · business · Manufacturing · Engineering,https://wuzzuf.net/jobs/p/XDgPp57Ff47G-Analysis-Engineer-SMD-Industrial-Sharqia-Egypt
17,Senior Financial Planning and Analysis,"['Full Time', 'On-site']",Corona ,"6th of October, Giza, Egypt ",Experienced · 3 - 6 Yrs of Exp · Accounting/Finance · Financial Analysis · Accounting · Finance · Planning,https://wuzzuf.net/jobs/p/bO0Vju3HNi7U-Senior-Financial-Planning-and-Analysis-Corona-Giza-Egypt
18,Costing Manager,"['Full Time', 'On-site']",Confidential ,"Bourj Alarab, Alexandria, Egypt ",Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Communication · Financial Data Analysis · Cost Accounting · Cost Control,https://wuzzuf.net/jobs/p/oYk8kcgx7eQY-Costing-Manager-Alexandria-Egypt
19,Senior ERP Business Analyst,"['Full Time', 'Hybrid']",BI-Technologies ,"New Cairo, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · business · Business Development · Computer Science · Information Technology (IT) · Data · Management,https://wuzzuf.net/jobs/p/U9Bzzc3QJCwD-Senior-ERP-Business-Analyst-BI-Technologies-Cairo-Egypt
20,External Auditor,"['Full Time', 'On-site']",Precision Accounting International ,"Smart Village, Giza, Egypt ",Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · External Auditor · Financial Analysis · Auditing · Data Analysis · Finance · tax · External Auditing,https://wuzzuf.net/jobs/p/EX4UCkDHFzd8-External-Auditor-Precision-Accounting-International-Giza-Egypt
21,Compensation & Benefits Executive/ Analyst,"['Full Time', 'On-site']",Transmar International  ,"New Cairo, Cairo, Egypt ",Entry Level · 3 - 7 Yrs of Exp · Human Resources · Compensation and Benefits · Human Resources (HR) · HR · Compensation & Benefits · Compensation · Benefits · Microsoft Office · Business Administration · Data Analysis,https://wuzzuf.net/jobs/p/8XrQr6F4YaJv-Compensation-Benefits-Executive-Analyst-Transmar-International-Cairo-Egypt
22,Senior Analyst/Investment Banking,"['Full Time', 'On-site']",Intercap Capital  ,"Dokki, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · Research · Accounting · Finance · Financial Analysis · Microsoft Office · Data Collection · Financial Reports,https://wuzzuf.net/jobs/p/oa7roMMM4DuZ-Senior-AnalystInvestment-Banking-Intercap-Capital-Giza-Egypt
23,Junior data engineer,"['Full Time', 'On-site']",Al Soug-Cashi ,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · BI · Data · Engineering · Python · SQL · Database · Software Development,https://wuzzuf.net/jobs/p/6K91q2qi3Ppi-Junior-data-engineer-Al-Soug-Cashi-Giza-Egypt
24,Big Data Engineer,"['Full Time', 'On-site']",Integrated Technology Group ,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Hadoop · Big Data · Kafka · Data · Engineering · Hive,https://wuzzuf.net/jobs/p/ORYxGCB4zJCu-Big-Data-Engineer-Integrated-Technology-Group-Cairo-Egypt
25,Accounting Manager,"['Full Time', 'On-site']",ElRiyad Castle ,"Sheraton, Cairo, Egypt ",Experienced · 10 - 14 Yrs of Exp · Accounting/Finance · Administration · Operations/Management · accounting data · Financial Analysis · Financial Reports · Financial Accounting · reports · Transactions,https://wuzzuf.net/jobs/p/JNjMnKX6G9RJ-Accounting-Manager-ElRiyad-Castle-Cairo-Egypt
26,Marketing Brand Manager,"['Full Time', 'On-site']",Saya Brokerage ,"Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Analysis · Brand · business · Communication · Data Analysis · Market Research · Marketing,https://wuzzuf.net/jobs/p/NPxa7kzlYUKT-Marketing-Brand-Manager-Saya-Brokerage-Cairo-Egypt
27,Accountant,"['Full Time', 'On-site']",Arma Non Food ,"Heliopolis, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Operations/Management · Accounting · Financial Accounting · Financial Data Analysis,https://wuzzuf.net/jobs/p/wT2aZZo8RVQj-Accountant-Arma-Non-Food-Cairo-Egypt
28,Timekeeper - HR,"['Full Time', 'Shift Based', 'On-site']",Emessa Denim   ,"Beni Suef, Egypt ",Entry Level · Administration · Human Resources · Manufacturing/Production · timekeeper · Time Scheduling · Time Management · HR · HR Systems · Payroll Administration · Human Resources,https://wuzzuf.net/jobs/p/lgY1NtlH7I07-Timekeeper---HR-Emessa-Denim-Beni-Suef-Egypt
29,Senior Management Consultant,"['Full Time', 'Remote']",Confidential ,"Abu Dhabi, United Arab Emirates ",Experienced · 5 - 10 Yrs of Exp · Strategy/Consulting · Consulting · Strategy · Project · Data Analysis · Market Research · Investment Analysis · Financial Modeling · Consultant,https://wuzzuf.net/jobs/p/7wI9RNR56m9o-Senior-Management-Consultant-Abu-Dhabi-United-Arab-Emirates
30,Industrial Quality Internship - Alexandria,"['Internship', 'On-site']",Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) ,"Ameria, Alexandria, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Quality · Engineering - Mechanical/Electrical · industrial Quality · Data Analysis · Reporting · Engineering · Mechanical · Electromechanical Engineering · quality · Quality Assurance,https://wuzzuf.net/internship/n0q83brSFtsv-Industrial-Quality-Internship---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt
31,Material Control Engineer,"['Full Time', 'On-site']",etisal for advanced industries  ,"6th of October, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Supply Chain · Material Planning · Data Analysis · Microsoft Power BI,https://wuzzuf.net/jobs/p/ojdFtY1265e8-Material-Control-Engineer-etisal-for-advanced-industries-Giza-Egypt
32,IT Help Desk Specialist ERP & ECM Systems,"['Full Time', 'On-site']", Ebtikar IT ,"Maadi, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · Customer Service/Support · Installation/Maintenance/Repair · IT/Software Development · Technical Support · Technical Analysis · Information Technology (IT) · Computer Science · SQL · Microsoft SQL Server · MySQL,https://wuzzuf.net/jobs/p/PYQh8f8QVPox-IT-Help-Desk-Specialist-ERP-ECM-Systems-Ebtikar-IT-Cairo-Egypt
33,External Senior Auditor,"['Full Time', 'On-site']",Shohdy Finance  ,"New Heliopolis, Cairo, Egypt ",Experienced · 5 - 9 Yrs of Exp · Accounting/Finance · Accounting · Data Analysis · Auditing · External Auditing · ERP · IFRS · GAAP · Financial Analysis · Financial,https://wuzzuf.net/jobs/p/j5VFP22crq9L-External-Senior-Auditor-Shohdy-Finance-Cairo-Egypt
34,Retail Manager,"['Full Time', 'On-site']",CNS Group ,"Heliopolis, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · males_preferred · Administration · Operations/Management · Sales/Retail · Retail · Sales Skills · Store Management · Sales · Analysis · Communication · Customer Care,https://wuzzuf.net/jobs/p/T87dcVYoyXSP-Retail-Manager-CNS-Group-Cairo-Egypt
35,Financial Planning & Analysis Manager,"['Full Time', 'On-site']",Skywalk Developments ,"Sheikh Zayed, Giza, Egypt ",Manager · 7 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Financial Analysis · Finance · Financial Management · Planning · Budgeting,https://wuzzuf.net/jobs/p/U37jxrtUHVbs-Financial-Planning-Analysis-Manager-Skywalk-Developments-Giza-Egypt
36,Senior Data Engineer,"['Full Time', 'Hybrid']",Paymob Solutions ,"Maadi, Cairo, Egypt ",Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Python · SQL · Database · Pandas · Computer Science · Programming · Software Development,https://wuzzuf.net/jobs/p/SCc3lNw8IO1J-Senior-Data-Engineer-Paymob-Solutions-Cairo-Egypt
37,Data Analyst,"['Full Time', 'On-site']",Selah ElTelmeez For Publishing & printing ,"Obour City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT),https://wuzzuf.net/jobs/p/CwBcPiNouivj-Data-Analyst-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt
38,English Speakers (Graduates Only / Full time shifts),"['Full Time', 'Shift Based', 'Hybrid']",_VOIS Egypt ,"Cairo, Egypt ",Entry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,https://wuzzuf.net/jobs/p/tapoyNGKe028-English-Speakers-Graduates-Only-Full-time-shifts-VOIS-Egypt-Cairo-Egypt
39,Quality Control Manager,"['Full Time', 'On-site']",Confidential ,"Abu Rawash, Giza, Egypt ",Manager · 3 - 7 Yrs of Exp · Quality · quality · ISO · Quality Control · Quality Assurance · Engineering · Administration · Analysis · business · Business Administration,https://wuzzuf.net/jobs/p/fQcCBqLuAgfH-Quality-Control-Manager-Giza-Egypt
40,Accountant,"['Full Time', 'On-site']",ALWALAA for Sorting and Packing Agricultural Crops ,"Abu Rawash, Giza, Egypt ",Experienced · 3+ Yrs of Exp · Accounting/Finance · Analysis · Budgeting · Finance · Financial Analysis · Financial Data · Software,https://wuzzuf.net/jobs/p/pDFia8UtJBPk-Accountant-ALWALAA-for-Sorting-and-Packing-Agricultural-Crops-Giza-Egypt
41,Data Analyst,"['Full Time', 'On-site']",Kasrawy Group ,"Abu Rawash, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Communication · Communication skills · Analysis · Computer Science · Economics · Data Analysis · English,https://wuzzuf.net/jobs/p/d08tp08z8vjc-Data-Analyst-Kasrawy-Group-Giza-Egypt
42,Process Analyst,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Business Development · Analyst/Research · analytical · Analysis · Business Analysis · Data · Data Analysis · English · Internal Controls,https://wuzzuf.net/jobs/p/VtgaleV8lLcq-Process-Analyst-Giza-Egypt
43,Data analyst and sustainability coordinator,"['Full Time', 'On-site']",Olam SVI ,"6th of October, Giza, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Logistics/Supply Chain · Analysis · Data Analysis · MS Office · Microsoft Excel · Microsoft Powerpoint · English,https://wuzzuf.net/jobs/p/TiSheXB9yNx7-Data-analyst-and-sustainability-coordinator-Olam-SVI-Giza-Egypt
44,Governance & Business Excellence Executive,"['Full Time', 'On-site']",Times Development ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · Business Development · Operations/Management · Administration · business · Business Administration · Microsoft Excel · Process · Microsoft Office · Data Analysis · Business Development,https://wuzzuf.net/jobs/p/2DS0qXZkc3SU-Governance-Business-Excellence-Executive-Times-Development-Cairo-Egypt
45,Warehouse Coordinator,"['Full Time', 'On-site']",Twelve for financial and administrative services ,"Mohandessin, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Operations/Management · Fashion · Warehousing · Data Entry · Data Analysis · Coordination · Administration · Supply Chain · Fashion Retail,https://wuzzuf.net/jobs/p/rUEsdRPlmymg-Warehouse-Coordinator-Twelve-for-financial-and-administrative-services-Giza-Egypt
46,English Speakers (Graduates Only - Full time shifts),"['Full Time', 'Shift Based', 'Hybrid']",_VOIS Egypt ,"Cairo, Egypt ",Entry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,https://wuzzuf.net/jobs/p/xP26YTlQ45Ph-English-Speakers-Graduates-Only---Full-time-shifts-VOIS-Egypt-Cairo-Egypt
47,MEL Specialist,"['Full Time', 'Hybrid']",Sprints.ai ,"Maadi, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Monitoring program implementation and progress. · Evaluating the effectiveness of learning outcomes. · Learning from our findings to continually improve our programs. · Learning · Data Analysis · Data Management,https://wuzzuf.net/jobs/p/IY3hK8Q1uCtn-MEL-Specialist-Sprints-ai-Cairo-Egypt
48,Quality Control Manager,"['Full Time', 'On-site']",Egyptian Golden Fruit company ,"Alexandria, Egypt ",Manager · 5 - 8 Yrs of Exp · males_only · Quality · Administration · Analysis · business · Business Administration · Communication · Data Analysis · Engineering · ISO · Leadership,https://wuzzuf.net/jobs/p/CDvFO3Ethl2s-Quality-Control-Manager-Egyptian-Golden-Fruit-company-Alexandria-Egypt
49,For English Speakers (Graduates Only - Full time job),"['Full Time', 'Shift Based', 'Hybrid']",_VOIS Egypt ,"Cairo, Egypt ",Entry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,https://wuzzuf.net/jobs/p/B7aGupNdYDia-For-English-Speakers-Graduates-Only---Full-time-job-VOIS-Egypt-Cairo-Egypt
50,Quality Manager ( Fashion),"['Full Time', 'On-site']",Carina Wear ,"New Cairo, Cairo, Egypt ",Manager · 7 - 10 Yrs of Exp · Logistics/Supply Chain · Data Analysis · Problem Solving · Decision Making · Leadership · quality · Microsoft Office · Analysis · Communication · Organization Skills,https://wuzzuf.net/jobs/p/LrLueFT3F49f-Quality-Manager-Fashion-Carina-Wear-Cairo-Egypt
51,Sales Operations Admin,"['Full Time', 'On-site']",Duxcorp  ,"Sheraton, Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · Administration · Operations/Management · Sales/Retail · Operations · Sales Operations · Sales · sales skills · Sales Target · Analysis · Microsoft Excel,https://wuzzuf.net/jobs/p/VAQUCRiS2wvk-Sales-Operations-Admin-Duxcorp-Cairo-Egypt
52,Research And Development (Food & Beverage ),"['Full Time', 'On-site']",ICONIC FMCG  ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · males_only · R&D/Science · Business Development · Analyst/Research · Business Development · Analysis · Chemistry · Data Analysis · Market Research · Communication · Management,https://wuzzuf.net/jobs/p/izWXk7K4PsGc-Research-And-Development-Food-Beverage-ICONIC-FMCG-Cairo-Egypt
53,Senior Data Analyst,"['Full Time', 'On-site']",Al Ahly capital holding - Al Ahly Tamkeen ,"Zamalek, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,https://wuzzuf.net/jobs/p/l2HsysPBSUnM-Senior-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt
54,Data scientist/Statistician,"['Full Time', 'On-site']",COB Solution  ,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · Business Development · Analyst/Research · Algorithms · Computer Science · Data · Data Mining · Data Science · Machine Learning · Mathematics · Statistics,https://wuzzuf.net/jobs/p/TU7iwLbeRqBU-Data-scientistStatistician-COB-Solution-Cairo-Egypt
55,Stock Market Analyst,"['Part Time', 'Remote']",Confidential ,"Riyadh, Saudi Arabia ",Experienced · 8 - 10 Yrs of Exp · males_only · Analyst/Research · Analysis · Data Collection · Statistics · Analytics · analytical · Stocks · Stock Market,https://wuzzuf.net/jobs/p/EZlx3OvQWYGt-Stock-Market-Analyst-Riyadh-Saudi-Arabia
56,Accounting Manager,"['Full Time', 'On-site']",Nutri Food ,"6th of October, Giza, Egypt ",Manager · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · Financial Management · accounting data · Compliance · Finance · Financial · Financial Accounting · Financial Analysis · Financial Reports,https://wuzzuf.net/jobs/p/P8O6PAoe8bAb-Accounting-Manager-Nutri-Food-Giza-Egypt
57,English Speakers (Graduates Only - Full time job),"['Full Time', 'Shift Based', 'Hybrid']",_VOIS Egypt ,"Cairo, Egypt ",Entry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,https://wuzzuf.net/jobs/p/9hAdUvwuF8Ew-English-Speakers-Graduates-Only---Full-time-job-VOIS-Egypt-Cairo-Egypt
58,CRM & HR Coordinator,"['Full Time', 'On-site']",Supa Koto ,"Maadi, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Administration · Human Resources · Operations/Management · CRM · HR · Human Resources (HR) · Data Analysis · customer engagement · Customer Satisfaction · Performance Measurement,https://wuzzuf.net/jobs/p/i0LJ1lDnNRk5-CRM-HR-Coordinator-Supa-Koto-Cairo-Egypt
59,Accounting,"['Full Time', 'On-site']",ITouch  ,"Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Finance · Financial Reports · Data · Financial · Financial Analysis · Financial Accounting,https://wuzzuf.net/jobs/p/ICJ42aYIsSgD-Accounting-ITouch-Cairo-Egypt
60,Data Analyst,"['Full Time', 'On-site']",Lecico Egypt ,"Alexandria, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Data Analysis · Information Technology (IT) · Science · English · Data Analyst · Computer Science · Analysis,https://wuzzuf.net/jobs/p/sbfNVsAYhQVm-Data-Analyst-Lecico-Egypt-Alexandria-Egypt
61,Tech Sales Operations Associate,"['Full Time', 'Hybrid']",intrazero ,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Administration · Business Development · IT/Software Development · Administration · Sales Field · Technical Sales · Technology · CRM Software · HubSpot · AI,https://wuzzuf.net/jobs/p/Ofv5XTK1hT7B-Tech-Sales-Operations-Associate-intrazero-Cairo-Egypt
62,Marketing Analyst,"['Full Time', 'On-site']", Roaya ,"Maadi, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Data Analysis · Market Research · Marketing,https://wuzzuf.net/jobs/p/Eu5NTRNOvQ6r-Marketing-Analyst-Roaya-Cairo-Egypt
63,Senior Budget and Reporting Analyst,"['Full Time', 'On-site']",GlobeMed Egypt ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Finance · Data Analysis · Analysis · Budgeting · business · Communication · Communication skills,https://wuzzuf.net/jobs/p/HVKjnADynxvo-Senior-Budget-and-Reporting-Analyst-GlobeMed-Egypt-Cairo-Egypt
64,AR Senior Accountant,"['Full Time', 'On-site']",Infinity Clinic Pharma ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · males_only · Accounting/Finance · Administration · Banking · Accounting · Finance · Financial Analysis · Financial Management · SAP · excel · Financial Data Analysis,https://wuzzuf.net/jobs/p/WQqRFKKhv8bF-AR-Senior-Accountant-Infinity-Clinic-Pharma-Cairo-Egypt
65,Data Engineer,"['Full Time', 'Hybrid']",Coformatique ,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Spark · kafka · Hive · Computer Engineering · Computer Science · Data Modeling · Information Technology (IT) · Programming,https://wuzzuf.net/jobs/p/qNomjSPCqDVm-Data-Engineer-Coformatique-Cairo-Egypt
66,CFO,"['Full Time', 'On-site']",Babel Development  ,"10th of Ramadan City, Sharqia, Egypt ",Senior Management · 10 - 15 Yrs of Exp · males_only · Accounting/Finance · C-Level Executive/GM/Director · Accounting · CFO · Finance · Financial Management · Risk Management · Financial Analysis · Data Analysis · Financial,https://wuzzuf.net/jobs/p/b0H8LfeLQ76Y-CFO-Babel-Development-Sharqia-Egypt
67,Quality Assurance Head,"['Full Time', 'On-site']",Granre ,"Cairo, Egypt ",Senior Management · 3 - 7 Yrs of Exp · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Communication skills · Analysis · quality · Data · QA · Communication,https://wuzzuf.net/jobs/p/Llr09rLRDxv5-Quality-Assurance-Head-Granre-Cairo-Egypt
68,Hiring English Speakers (Graduates Only - Full time job),"['Full Time', 'Shift Based', 'Hybrid']",_VOIS Egypt ,"Cairo, Egypt ",Entry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,https://wuzzuf.net/jobs/p/fwthiXwKyxp3-Hiring-English-Speakers-Graduates-Only---Full-time-job-VOIS-Egypt-Cairo-Egypt
69,Data Collector,"['Full Time', 'Hybrid']",Antolino Impex Trade ,"New Cairo, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · Other · Data Collection · data collector · Raw Materials · Outdoor Sales · Sales Field,https://wuzzuf.net/jobs/p/Z40rIR9Q2TXQ-Data-Collector-Antolino-Impex-Trade-Cairo-Egypt
70,FP&A Senior Analyst Business units,"['Full Time', 'On-site']",AlGammal Contracting ,"Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Business Development · Analysis,https://wuzzuf.net/jobs/p/U6oQylakasxR-FPA-Senior-Analyst-Business-units-AlGammal-Contracting-Cairo-Egypt
